"Source:","/home/barnacle/Projects/Cisc-8/Old/cisc-8 new/cisc-8.sch"
"Date:","Fri 28 Jun 2019 20:37:52 BST"
"Tool:","Eeschema 5.1.2-f72e74a~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","311"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C201","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C202","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C203","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C204","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C205","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C206","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C207","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C208","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C209","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C210","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C211","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C212","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C213","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C214","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C301","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C302","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C303","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C304","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C305","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C306","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C307","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C308","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C309","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C310","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C311","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C312","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C313","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C314","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C315","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C316","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C317","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C318","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C319","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C320","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C321","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
